0,1,1,432,100.11
0,2,0,271,100.15
0,3,0,478,100.01
0,4,0,472,99.88
0,5,1,316,99.95
0,6,1,333,99.76
0,7,0,380,99.78
0,8,0,83,99.94
0,9,1,78,99.96
0,10,1,39,99.75
0,11,0,287,99.65
0,12,0,473,99.80
0,13,1,187,99.80
0,14,1,249,99.85
0,15,0,368,99.70
0,16,0,36,99.93
0,17,0,312,100.01
0,18,0,343,99.80
0,19,1,391,99.91
0,20,0,87,99.74
1,6
0,21,0,347,99.70
0,22,0,470,99.99
0,23,0,252,99.99
0,24,0,84,99.97
0,25,1,30,100.14
0,26,1,18,99.97
0,27,1,446,99.80
0,28,0,26,100.03
0,29,1,488,99.79
0,30,0,308,100.01
0,31,1,72,99.99
0,32,0,196,99.79
0,33,1,167,100.11
0,34,1,350,99.94
0,35,0,49,99.84
0,36,0,403,100.00
0,37,1,156,99.76
0,38,1,455,99.99
0,39,0,440,99.76
0,40,0,364,100.06
0,41,0,238,99.87
0,42,0,130,99.78
0,43,1,126,99.70
0,44,1,412,99.99
0,45,0,308,100.05
1,39
0,46,1,359,99.92
0,47,0,316,99.81
0,48,1,163,99.79
0,49,0,334,99.80
1,49
0,50,0,242,100.07
0,51,1,116,99.84
1,43
0,52,1,419,100.15
0,53,1,205,99.94
0,54,0,469,100.21
0,55,0,89,100.07
0,56,0,321,100.09
0,57,1,247,100.00
0,58,1,196,100.25
0,59,0,104,100.01
0,60,0,284,99.87
0,61,1,484,100.24
0,62,0,361,99.97
0,63,1,329,100.15
0,64,1,488,99.95
1,33
0,65,0,307,100.02
0,66,0,240,100.13
0,67,1,342,100.01
0,68,0,500,100.01
0,69,1,479,100.24
0,70,0,257,99.88
0,71,1,123,100.13
0,72,0,499,99.94
0,73,1,190,99.90
0,74,1,431,100.27
1,25
0,75,0,295,100.11
0,76,1,338,100.02
0,77,1,78,100.09
1,68
0,78,1,348,100.31
0,79,0,79,100.18
0,80,0,343,100.04
1,66
1,35472193
0,81,0,20,100.10
0,82,1,17,100.09
0,83,0,-5,100
0,83,0,373,100.12
0,84,0,424,100.21
0,85,0,311,100.26
0,86,0,364,100.10
0,87,0,414,100.39
1,36
0,88,0,200,100.28
0,89,1,468,100.11
0,90,1,13,100.53
0,91,0,477,100.31
0,92,1,116,100.36
0,93,1,379,100.54
0,94,0,208,100.41
0,95,1,68,100.62
0,96,0,380,100.40
0,97,0,5,abc
0,97,1,83,100.37
0,98,1,385,100.62
0,99,1,221,100.40
0,100,1,136,100.57
1,59
0,101,1,378,100.46
0,102,0,73,100.49
0,103,1,427,100.56
0,104,1,446,100.32
0,105,0,190,100.21
0,106,1,237,100.38
0,107,1,368,100.59
0,108,0,336,100.43
0,109,0,305,100.34
0,110,1,325,100.33
0,111,0,152,100.56
0,112,0,255,100.28
0,113,0,352,100.24
0,114,1,99,100.27
0,115,0,357,100.42
0,116,0,336,100.59
0,117,1,257,100.50
0,118,1,326,100.49
1,47
0,119,1,332,100.63
0,120,0,405,100.54
0,121,1,397,100.45
0,122,0,251,100.57
